Description,Latitude,Location,Longitude,Price,Title,Url,Information
Orchard Grass/Fescue mix. Horse quality. Stored in dry barn. 2nd and 3rd cutting. $5.00 a bale. Call or text,35.6172,Unspecified,-82.40700000000001,4.0,Square Bale Hay,https://asheville.craigslist.org/grd/d/square-bale-hay/6480774542.html,Square Bale Hay. $4.0. Orchard Grass/Fescue mix. Horse quality. Stored in dry barn. 2nd and 3rd cutting. $5.00 a bale. Call or text
"I have a good variety of riding crops and whips for sale. Different lenghts, styles, prices and different uses.",35.6172,Unspecified,-82.40700000000001,4.0,Riding Crops and Whips,https://asheville.craigslist.org/for/d/riding-crops-and-whips/6505306428.html,"Riding Crops and Whips. $4.0. I have a good variety of riding crops and whips for sale. Different lenghts, styles, prices and different uses."
"New, ""horsey"" signs. Fergus the horse signs $9.00 each. Others Very reasonably priced.",35.6172,Unspecified,-82.40700000000001,4.0,"New ""Horsey"" Signs",https://asheville.craigslist.org/for/d/new-horsey-signs/6505288926.html,"New ""Horsey"" Signs. $4.0. New, ""horsey"" signs. Fergus the horse signs $9.00 each. Others Very reasonably priced."
"New, assorted horse necklaces. Most between $10.00 to $15.00.",35.6172,Unspecified,-82.40700000000001,15.0,"New, Horse Necklaces",https://asheville.craigslist.org/jwl/d/new-horse-necklaces/6505315587.html,"New, Horse Necklaces. $15.0. New, assorted horse necklaces. Most between $10.00 to $15.00."
"New. Selection of riding socks. Single pairs $5.00 each or 5 for $20.00. Three pack pairs $13.00 each or 2 for $24.00. Three pack ankle socks $8.00 each. These would make great gifts for birthdays. To see more horse and rider merchandise, please click the ""more ads by this user"" link.",35.6172,Unspecified,-82.40700000000001,15.0,New. Riding Socks,https://asheville.craigslist.org/clo/d/new-riding-socks/6505339779.html,"New. Riding Socks. $15.0. New. Selection of riding socks. Single pairs $5.00 each or 5 for $20.00. Three pack pairs $13.00 each or 2 for $24.00. Three pack ankle socks $8.00 each. These would make great gifts for birthdays. To see more horse and rider merchandise, please click the ""more ads by this user"" link."
Here are a few animal games that are new. They would make great gifts.,35.589537,"Swannanoa, NC",-82.407147,10.0,Animal Games,https://asheville.craigslist.org/for/d/animal-games/6505347264.html,Animal Games. $10.0. Here are a few animal games that are new. They would make great gifts.
"New, Ariat women's size 6 1/2 Medium ""Brittany"" black boot. $85.00.",35.6172,Unspecified,-82.40700000000001,85.0,"New, Ariat Women's 6 1/2 ""Brittany"" Black Boot",https://asheville.craigslist.org/clo/d/new-ariat-womensbrittany/6505355304.html,"New, Ariat Women's 6 1/2 ""Brittany"" Black Boot. $85.0. New, Ariat women's size 6 1/2 Medium ""Brittany"" black boot. $85.00."
"New, brown child's 31 Horze Spirit Sage Jodhpur leather boots. $40.00. To see more horse and rider merchandise, please click the ""more ads by this user"" link.",35.6172,Unspecified,-82.40700000000001,40.0,New child's Horze leather boots,https://asheville.craigslist.org/for/d/new-childs-horze-leather-boots/6481641741.html,"New child's Horze leather boots. $40.0. New, brown child's 31 Horze Spirit Sage Jodhpur leather boots. $40.00. To see more horse and rider merchandise, please click the ""more ads by this user"" link."
"Presidential Blue ,Numbers matching factory S code, 390 ci 4 speed, 9"" rear end. Coil over suspension, full frame, 4 wheel disc brakes. Build sheet , Marti report One owner till 2016. No expense spared!1968 Ford Mustang Fastback S Code 390 4 Speed",35.6172,"Asheville, NC",-82.40700000000001,36000.0,1968 Ford Mustang Fastback 4 Speed,https://asheville.craigslist.org/cto/d/1968-ford-mustang-fastback-4/6512656900.html,"1968 Ford Mustang Fastback 4 Speed. $36000.0. Presidential Blue ,Numbers matching factory S code, 390 ci 4 speed, 9"" rear end. Coil over suspension, full frame, 4 wheel disc brakes. Build sheet , Marti report One owner till 2016. No expense spared!1968 Ford Mustang Fastback S Code 390 4 Speed"
"New, brown Venture western riding helmet size small ( up to 22"" or hat size up to 7). $70.00. Three available.",35.6172,"Swannanoa, NC",-82.40700000000001,70.0,New Venture riding helmet,https://asheville.craigslist.org/grd/d/new-venture-riding-helmet/6505351823.html,"New Venture riding helmet. $70.0. New, brown Venture western riding helmet size small ( up to 22"" or hat size up to 7). $70.00. Three available."
Brand new black Tucker Headstall. $45.00.,35.6172,Unspecified,-82.40700000000001,45.0,"New, Tucker Headstall",https://asheville.craigslist.org/grd/d/new-tucker-headstall/6490053566.html,"New, Tucker Headstall. $45.0. Brand new black Tucker Headstall. $45.00."
"Stainless steel headers for 67-87 Chevy or GMC truck. Heavy duty 1/4"" flanges. No dents or leaks. New collectors included.",35.7064,"Alexander, NC",-82.6311,40.0,67-87 Chevy/GMC Stainless Steel Headers,https://asheville.craigslist.org/pts/d/67-87-chevy-gmc-stainless/6512657394.html,"67-87 Chevy/GMC Stainless Steel Headers. $40.0. Stainless steel headers for 67-87 Chevy or GMC truck. Heavy duty 1/4"" flanges. No dents or leaks. New collectors included."
One has scratches Baldwin brand,35.5393,"Asheville, NC",-82.51799999999999,25.0,Solid brass candles sticks,https://asheville.craigslist.org/hsh/d/solid-brass-candles-sticks/6512657443.html,Solid brass candles sticks. $25.0. One has scratches Baldwin brand
"Honda mower in excellent condition. It is a 3 speed self propelled. Comes with a grass catcher so you can bag or mulch. Overhead valve engine. Starts right up, runs good, cuts good, pulls good. A really great mower. Call or text Thanks",35.5393,"Asheville, NC",-82.51799999999999,185.0,Honda HRX217 Self Propelled Lawnmower,https://asheville.craigslist.org/tls/d/honda-hrx217-self-propelled/6512657526.html,"Honda HRX217 Self Propelled Lawnmower. $185.0. Honda mower in excellent condition. It is a 3 speed self propelled. Comes with a grass catcher so you can bag or mulch. Overhead valve engine. Starts right up, runs good, cuts good, pulls good. A really great mower. Call or text Thanks"
Shabby Chic Magazine Rack $35 Retro Decorative low sheen black iron magazine rack with two spacious shelves for holding all manor of larger reading material. Curled feet with matching side and handle motif. Very sturdy. The paint is original with small areas as seen of wear and minor rust. Very usable in current condition. Easily painted if desired. All spokes and iron well joined.,35.4499,"Fletcher, NC",-82.4966,39.0,Decorative Wrought Iron Magazine Rack - Shabby Chic,https://asheville.craigslist.org/fuo/d/decorative-wrought-iron/6480565633.html,Decorative Wrought Iron Magazine Rack - Shabby Chic. $39.0. Shabby Chic Magazine Rack $35 Retro Decorative low sheen black iron magazine rack with two spacious shelves for holding all manor of larger reading material. Curled feet with matching side and handle motif. Very sturdy. The paint is original with small areas as seen of wear and minor rust. Very usable in current condition. Easily painted if desired. All spokes and iron well joined.
"Selling Hamilton Beach Blender Made in the USA. Model #50199R Plastic jar. (NOT made in China). In good working condition. 10 settings. All the buttons work . HAMILTON BEACH Blend-master Ultra 10 Speed 6 CUP. Jar Blender. This Blender is Used but is in Great Working Condition. Has removable center fill cap. 4-Blades that can chop, grate, stir, beat, puree, blend, liquefy, crumb and chop--any has an ice breaker setting! Perfect addition to your kitchen or bar! $15 Ideal for smoothies, shakes and icy drinks ect, Please Note: Because of the multitude of phishing and e-mail harvesting scams on Craigslist, I do not respond to people who ask ""is this still for sale"" or ""will you take $X.00"" or other automated questions, unless you provide a contact phone number or outside e-mail address in your e-mail. I update this listing as items are sold, so if it's still showing as available, it is",35.4499,"Fletcher, NC",-82.4966,15.0,Hamilton Beach Blender 10 SPEED,https://asheville.craigslist.org/hsh/d/hamilton-beach-blender-10/6504604690.html,"Hamilton Beach Blender 10 SPEED. $15.0. Selling Hamilton Beach Blender Made in the USA. Model #50199R Plastic jar. (NOT made in China). In good working condition. 10 settings. All the buttons work . HAMILTON BEACH Blend-master Ultra 10 Speed 6 CUP. Jar Blender. This Blender is Used but is in Great Working Condition. Has removable center fill cap. 4-Blades that can chop, grate, stir, beat, puree, blend, liquefy, crumb and chop--any has an ice breaker setting! Perfect addition to your kitchen or bar! $15 Ideal for smoothies, shakes and icy drinks ect, Please Note: Because of the multitude of phishing and e-mail harvesting scams on Craigslist, I do not respond to people who ask ""is this still for sale"" or ""will you take $X.00"" or other automated questions, unless you provide a contact phone number or outside e-mail address in your e-mail. I update this listing as items are sold, so if it's still showing as available, it is"
"We pay top prices for your old barns, buildings and houses. References available. Phone Calls ONLY please 423-4seven0-zero807",36.5356,"Kingsport, TN",-82.3656,1.0,Buying Barns & Houses,https://asheville.craigslist.org/grd/d/buying-barns-houses/6506002521.html,"Buying Barns & Houses. $1.0. We pay top prices for your old barns, buildings and houses. References available. Phone Calls ONLY please 423-4seven0-zero807"
OLD RETRO VINTAGE----- Wall mount triple candle holder Solid Brass $15,35.4499,"Fletcher, NC",-82.4966,15.0,Solid Brass triple candle holder wall mount,https://asheville.craigslist.org/atq/d/solid-brass-triple-candle/6478048257.html,Solid Brass triple candle holder wall mount. $15.0. OLD RETRO VINTAGE----- Wall mount triple candle holder Solid Brass $15
"I have Two good used Tires for sale they are a matching set of AmeriTrac TR - Size: P255/70R17 On-/Off-Road All-Terrain light truck tires are for drivers who want a combination of customary on-road capacity, enhanced off-road capabilities and all-season versatility, including traction in light snow. Commonly used on light and medium-duty 4WD truck, pickup and sport utility vehicles. 17"" May be used for others vehicles. $30 each $60 for both see pictures - They are Good tires Yes they hold air!!",35.4499,"Fletcher, NC",-82.4966,30.0,General AmeriTrac TR - Size: P255/70R17,https://asheville.craigslist.org/wto/d/general-ameritrac-tr-size/6477397459.html,"General AmeriTrac TR - Size: P255/70R17. $30.0. I have Two good used Tires for sale they are a matching set of AmeriTrac TR - Size: P255/70R17 On-/Off-Road All-Terrain light truck tires are for drivers who want a combination of customary on-road capacity, enhanced off-road capabilities and all-season versatility, including traction in light snow. Commonly used on light and medium-duty 4WD truck, pickup and sport utility vehicles. 17"" May be used for others vehicles. $30 each $60 for both see pictures - They are Good tires Yes they hold air!!"
"Broyhill cloth king size bed, nail heads, not used yet. Elegant. Phone:",35.4499,"Asheville, NC",-82.4966,550.0,King Bed,https://asheville.craigslist.org/fuo/d/king-bed/6508298688.html,"King Bed. $550.0. Broyhill cloth king size bed, nail heads, not used yet. Elegant. Phone:"
"I have a selection of new horse bits. Most are horse size, but the vary in sizes, style, make and price. Just call to see if I have what you need. To see other horse and rider merchandise, click the ""more ads by this user"" link on this page.",35.6172,Unspecified,-82.40700000000001,550.0,New Horse Bits,https://asheville.craigslist.org/grd/d/new-horse-bits/6505362789.html,"New Horse Bits. $550.0. I have a selection of new horse bits. Most are horse size, but the vary in sizes, style, make and price. Just call to see if I have what you need. To see other horse and rider merchandise, click the ""more ads by this user"" link on this page."
"Vintage Bissell's American Sweeper Vacuum Rare. Appears to be in working condition. $100 OBO NOW $40 Vintage Bissell American Sweeper floor sweeper. Made in Grand Rapids MI from the 1900's to mid century. Most of the high end hotels and had it and they were used commercially. This one is a good shape. The device still works and the handle is good. Overall, this tool looks good for being almost 100 years old. The Bissell sweeper is a unique piece of Americana that will look great on display either in your home, office or business. Perfect for the country store décor..",35.4499,"Fletcher, NC",-82.4966,30.0, Price Drop  Bissell's American Sweeper Vacuum,https://asheville.craigslist.org/clt/d/price-drop-bissells-american/6490275070.html," Price Drop  Bissell's American Sweeper Vacuum. $30.0. Vintage Bissell's American Sweeper Vacuum Rare. Appears to be in working condition. $100 OBO NOW $40 Vintage Bissell American Sweeper floor sweeper. Made in Grand Rapids MI from the 1900's to mid century. Most of the high end hotels and had it and they were used commercially. This one is a good shape. The device still works and the handle is good. Overall, this tool looks good for being almost 100 years old. The Bissell sweeper is a unique piece of Americana that will look great on display either in your home, office or business. Perfect for the country store décor.."
"Bedroom set from American Drew, quality, dove tailed drawers, bottom drawers cedar lined. Including king size bed, dresser with mirror, and two night stands. Distressed cream color. Heavy and well made, unused, No mattress.",35.4499,"Asheville, NC",-82.4966,1550.0,King Bedroom Set,https://asheville.craigslist.org/fuo/d/king-bedroom-set/6507847098.html,"King Bedroom Set. $1550.0. Bedroom set from American Drew, quality, dove tailed drawers, bottom drawers cedar lined. Including king size bed, dresser with mirror, and two night stands. Distressed cream color. Heavy and well made, unused, No mattress."
"Like new high end Schnadig king sleigh bed. Not used yet. Nice, heavy, bolts together. Beautiful rails. Phone:",35.4499,"Asheville, NC",-82.4966,625.0,King Sleigh Bed,https://asheville.craigslist.org/fuo/d/king-sleigh-bed/6507846843.html,"King Sleigh Bed. $625.0. Like new high end Schnadig king sleigh bed. Not used yet. Nice, heavy, bolts together. Beautiful rails. Phone:"
MSR Starlet Fuschia Motocross/ Motorcycle Helmet Pink NOS M7 . This helmet fits Adult XS 53-54cm. This helmet is Snell Dot approved. We do not have the original box. (see picture). Have used only a handful of times. It has never been in a accident of any kind. In great condition. Serious buyers please,35.4499,"Fletcher, NC",-82.4966,35.0,MSR Motorcycle Helmet (Pink),https://asheville.craigslist.org/snw/d/msr-motorcycle-helmet-pink/6490254273.html,MSR Motorcycle Helmet (Pink). $35.0. MSR Starlet Fuschia Motocross/ Motorcycle Helmet Pink NOS M7 . This helmet fits Adult XS 53-54cm. This helmet is Snell Dot approved. We do not have the original box. (see picture). Have used only a handful of times. It has never been in a accident of any kind. In great condition. Serious buyers please
Perfect condition- Kawasaki ninja 300. Pink reflective tape on the rims. Can be easily removed if need be.,35.4499,"Asheville, NC",-82.4966,4300.0,2017 Kawasaki Ninja 300,https://asheville.craigslist.org/mcy/d/2017-kawasaki-ninja-300/6512659332.html,2017 Kawasaki Ninja 300. $4300.0. Perfect condition- Kawasaki ninja 300. Pink reflective tape on the rims. Can be easily removed if need be.
"Water ski tow rope handle with toe hold. This has the wide handle for more stability. New was over $100 This handle can be used for so many different applications from trick ski, wake-boarding, barefoot to slalom even good for teaching beginners. Testimonial: My friend has the exact item and we use it to slalom ski. he can ski with one foot in the toe holder or put the leather strap in his teeth and ski with no hands. it is a great product and worth the money you spend.",35.4499,"Fletcher, NC",-82.4966,20.0,Water ski tow rope handle with toe hold,https://asheville.craigslist.org/spo/d/water-ski-tow-rope-handle/6507238525.html,"Water ski tow rope handle with toe hold. $20.0. Water ski tow rope handle with toe hold. This has the wide handle for more stability. New was over $100 This handle can be used for so many different applications from trick ski, wake-boarding, barefoot to slalom even good for teaching beginners. Testimonial: My friend has the exact item and we use it to slalom ski. he can ski with one foot in the toe holder or put the leather strap in his teeth and ski with no hands. it is a great product and worth the money you spend."
Home use only (non smoking). New OEM burrs have 60-70lbs on them. Fully cleaned and ready to go.,35.4499,"Asheville, NC",-82.4966,325.0,Mazzer Mini Espresso grinder,https://asheville.craigslist.org/app/d/mazzer-mini-espresso-grinder/6512659554.html,Mazzer Mini Espresso grinder. $325.0. Home use only (non smoking). New OEM burrs have 60-70lbs on them. Fully cleaned and ready to go.
"Reclaimed from the Nelson Jones flue cured tobacco barn, near Smith Mountain Lake,VA. These beams make beautiful fireplace mantles or can be used in lengths up to 20' for exposed ceiling supports.Mostly White Oak & Heart Pine material, constructed in the late 1800's. Priced at $4.00 per board foot, ie a 6' long 8x8"" fireplace mantle cost is $128.00. Phone calls only please 423-47zero-0807",35.4499,"Kingsport, TN",-82.4966,4.0,Hand Hewn Beams,https://asheville.craigslist.org/mat/d/hand-hewn-beams/6482038831.html,"Hand Hewn Beams. $4.0. Reclaimed from the Nelson Jones flue cured tobacco barn, near Smith Mountain Lake,VA. These beams make beautiful fireplace mantles or can be used in lengths up to 20' for exposed ceiling supports.Mostly White Oak & Heart Pine material, constructed in the late 1800's. Priced at $4.00 per board foot, ie a 6' long 8x8"" fireplace mantle cost is $128.00. Phone calls only please 423-47zero-0807"
"Blackout Effectors Sibling Optical Phaser pedal. Great transparent phaser pedal wth depth, volume and level controls, as well as two speed settings. Blackout makes great pedals and I wish I had more use for this pedal because I love it.",35.5808,Unspecified,-82.6078,120.0,Blackout Effectors Sibling Phaser,https://asheville.craigslist.org/msg/d/blackout-effectors-sibling/6512660006.html,"Blackout Effectors Sibling Phaser. $120.0. Blackout Effectors Sibling Optical Phaser pedal. Great transparent phaser pedal wth depth, volume and level controls, as well as two speed settings. Blackout makes great pedals and I wish I had more use for this pedal because I love it."
"Antique Rayo Nickel Plated Kerosene Oil Lamp with Glass Chimney. Small dent on side. $100 The metal or Nickel Plated Kerosene Oil Lamp base is just over6"" wide 12"" tall 21"" to top of Glass Chimney. Please Note: Because of the multitude of phishing and e-mail harvesting scams on Craigslist, I do not respond to people who ask ""is this still for sale"" or other automated questions, unless you provide a contact phone number or outside e-mail address in your e-mail. I update this listing as items are sold, so if it's still showing as available, it is",35.4499,"Fletcher, NC",-82.4966,100.0,Antique Rayo Nickel Plated Kerosene Oil Lamp,https://asheville.craigslist.org/atq/d/antique-rayo-nickel-plated/6507272292.html,"Antique Rayo Nickel Plated Kerosene Oil Lamp. $100.0. Antique Rayo Nickel Plated Kerosene Oil Lamp with Glass Chimney. Small dent on side. $100 The metal or Nickel Plated Kerosene Oil Lamp base is just over6"" wide 12"" tall 21"" to top of Glass Chimney. Please Note: Because of the multitude of phishing and e-mail harvesting scams on Craigslist, I do not respond to people who ask ""is this still for sale"" or other automated questions, unless you provide a contact phone number or outside e-mail address in your e-mail. I update this listing as items are sold, so if it's still showing as available, it is"
"Beautiful Red Cedar Cants, 4x4's, 2x4's , 3x8's,3x10's,3x12's, 1x12'' all are 10,12,&14' long and have never been wet. This material has been dry stacked for 4 years. Makes great tables and furniture. Approximately 4000 board feet, priced at $4.00 per board foot.....................Phone calls only please 423-4seven0-Zero807.",35.4499,"Kingsport, TN",-82.4966,4.0,Red Cedar Wood,https://asheville.craigslist.org/mat/d/red-cedar-wood/6492803763.html,"Red Cedar Wood. $4.0. Beautiful Red Cedar Cants, 4x4's, 2x4's , 3x8's,3x10's,3x12's, 1x12'' all are 10,12,&14' long and have never been wet. This material has been dry stacked for 4 years. Makes great tables and furniture. Approximately 4000 board feet, priced at $4.00 per board foot.....................Phone calls only please 423-4seven0-Zero807."
Girls size 12-14. Like new condition,35.5393,"Asheville, NC",-82.51799999999999,20.0,Juicy couture zip hoodie,https://asheville.craigslist.org/clo/d/juicy-couture-zip-hoodie/6512660639.html,Juicy couture zip hoodie. $20.0. Girls size 12-14. Like new condition
"Wall-Mount Cup, and Portion Cup Organizer and or Dispenser $5 obo",35.5393,"Fletcher, NC",-82.51799999999999,5.0,Cup Organizer and or Dispenser,https://asheville.craigslist.org/for/d/cup-organizer-and-or-dispenser/6480501573.html,"Cup Organizer and or Dispenser. $5.0. Wall-Mount Cup, and Portion Cup Organizer and or Dispenser $5 obo"
"White Chevy Crew Cab Silverado LTZ Has the 6.2 engine , 8 speed transmission with only 18800 miles. Spray in bed liner, nav. heated and cooled leather seats, back up camera, 20"" factory rims with Goodyear tires. Like new, orginal owner, non smoker and accident free. Still under warranty. No scammers or texts",35.5393,"Hendersonville, NC",-82.51799999999999,39900.0,2015 Silverado LTZ,https://asheville.craigslist.org/cto/d/2015-silverado-ltz/6481472304.html,"2015 Silverado LTZ. $39900.0. White Chevy Crew Cab Silverado LTZ Has the 6.2 engine , 8 speed transmission with only 18800 miles. Spray in bed liner, nav. heated and cooled leather seats, back up camera, 20"" factory rims with Goodyear tires. Like new, orginal owner, non smoker and accident free. Still under warranty. No scammers or texts"
"I have 6 MOTORCYCLE COUNTER SHAFT SPROCKETS from when I had a Yamaha dirt bike. I HAVE SEVERAL SIZES --- 13,14,15,17 TOOTH $6 EACH or all six for $30 FIT TTR TT-R 125 90 80 PW80 RT MX 80 100 125 YZ AND OTHER DIRT BIKES!",35.5393,"Fletcher, NC",-82.51799999999999,6.0,MOTORCYCLE SPROCKETS,https://asheville.craigslist.org/mpo/d/motorcycle-sprockets/6480564657.html,"MOTORCYCLE SPROCKETS. $6.0. I have 6 MOTORCYCLE COUNTER SHAFT SPROCKETS from when I had a Yamaha dirt bike. I HAVE SEVERAL SIZES --- 13,14,15,17 TOOTH $6 EACH or all six for $30 FIT TTR TT-R 125 90 80 PW80 RT MX 80 100 125 YZ AND OTHER DIRT BIKES!"
"1985 Autocar At64f truck with 3406b cat engine 400hp, 15 speed overdrive transmission, Pete air leaf air ride suspension, 4.44 rear end ratio, ac works, 24.5 tires Aluminum outside wheels. Good tires and brakes Any questions just call me, if no answer just leave message. Trailer not included.",35.5393,"Whittier, NC",-82.51799999999999,20500.0,Autocar Truck 1985 AT64f,https://asheville.craigslist.org/hvo/d/autocar-truck-1985-at64f/6512664275.html,"Autocar Truck 1985 AT64f. $20500.0. 1985 Autocar At64f truck with 3406b cat engine 400hp, 15 speed overdrive transmission, Pete air leaf air ride suspension, 4.44 rear end ratio, ac works, 24.5 tires Aluminum outside wheels. Good tires and brakes Any questions just call me, if no answer just leave message. Trailer not included."
"(Like new.) You save a lot of money by buying a salvage title. Compare the price. They are great cars. My last 3 car's have been salvage. I buy from a dealer that has been in business for 21 years.. I needed a bigger car. Gets 34 to 40 miles per gallon $7,300 OBO",35.6732,Unspecified,-81.9056,7300.0,KIA,https://asheville.craigslist.org/cto/d/kia/6512665223.html,"KIA. $7300.0. (Like new.) You save a lot of money by buying a salvage title. Compare the price. They are great cars. My last 3 car's have been salvage. I buy from a dealer that has been in business for 21 years.. I needed a bigger car. Gets 34 to 40 miles per gallon $7,300 OBO"
Have 1 ticket for SOJA. Advance price is $25 + $7.50 fees. I'm selling for $25. Thanks,35.5986,"Asheville, NC",-82.2902,25.0,SOJA /// Orange Peel /// 3/16,https://asheville.craigslist.org/tix/d/soja-orange-peel-3-16/6512665366.html,SOJA /// Orange Peel /// 3/16. $25.0. Have 1 ticket for SOJA. Advance price is $25 + $7.50 fees. I'm selling for $25. Thanks
"vintage army green drab painted metal lockbox w/ key, industrial style cash money / document box $10",35.4499,"Fletcher, NC",-82.4966,10.0,vintage army green drab painted metal lockbox w/ key,https://asheville.craigslist.org/bfs/d/vintage-army-green-drab/6485410939.html,"vintage army green drab painted metal lockbox w/ key. $10.0. vintage army green drab painted metal lockbox w/ key, industrial style cash money / document box $10"
"LIMITED EDITION with High Gain and Low Gain switch. Mantra overdrive is a very transparent overdrive with great tone and a ton of EQ flexibility. Can go from very subtle grit to high gain almost fuzz-like distortion. This one is in a limited edition, hand painted, run right from the shop right here in Asheville.",35.5808,"Asheville, NC",-82.6078,150.0,Blackout Effectors Mantra (Limited Edition),https://asheville.craigslist.org/msg/d/blackout-effectors-mantra/6512659789.html,"Blackout Effectors Mantra (Limited Edition). $150.0. LIMITED EDITION with High Gain and Low Gain switch. Mantra overdrive is a very transparent overdrive with great tone and a ton of EQ flexibility. Can go from very subtle grit to high gain almost fuzz-like distortion. This one is in a limited edition, hand painted, run right from the shop right here in Asheville."
"Honda mower in excellent condition. It is a 3 speed self propelled. Comes with a grass catcher so you can bag or mulch. Overhead valve engine. Starts right up, runs good, cuts good, pulls good. A really great mower. Call or text Thanks",35.5808,"Asheville, NC",-82.6078,185.0,Honda Self Propelled Lawnmower HRX217,https://asheville.craigslist.org/grd/d/honda-self-propelled/6512666521.html,"Honda Self Propelled Lawnmower HRX217. $185.0. Honda mower in excellent condition. It is a 3 speed self propelled. Comes with a grass catcher so you can bag or mulch. Overhead valve engine. Starts right up, runs good, cuts good, pulls good. A really great mower. Call or text Thanks"
"Meet Trisha! Selling for 1000 or best offer, willing to negotiate. MECHANICALLY Pros: New timing belt New water pump New thermostat New battery Cons: Heating core needs to be replaced. It has not gone out yet and could last awhile before it is replaced however it will still have to be done at some point. Engine light is on because of an O2 Sensor Has little problems here and there that could be fixed if you really want her running good but nothing major besides the heating core. COSMETICALLY Front bumper is tied on and a little beat up on the right side Paint is a little rough in some small places She also has a lot of little quirky things wrong as well. Her left side back door wont unlock with the key or with the button inside. Her trunk wont open unless done from the inside. You cant roll up the passenger side window from the driver side. And the buttons on the key are not working. But she can be opened by just sticking the key in the door. All the doors unlock if you turn it three times.",35.5808,"Arden, NC",-82.6078,1000.0,2003 VW Passat,https://asheville.craigslist.org/cto/d/2003-vw-passat/6512666982.html,"2003 VW Passat. $1000.0. Meet Trisha! Selling for 1000 or best offer, willing to negotiate. MECHANICALLY Pros: New timing belt New water pump New thermostat New battery Cons: Heating core needs to be replaced. It has not gone out yet and could last awhile before it is replaced however it will still have to be done at some point. Engine light is on because of an O2 Sensor Has little problems here and there that could be fixed if you really want her running good but nothing major besides the heating core. COSMETICALLY Front bumper is tied on and a little beat up on the right side Paint is a little rough in some small places She also has a lot of little quirky things wrong as well. Her left side back door wont unlock with the key or with the button inside. Her trunk wont open unless done from the inside. You cant roll up the passenger side window from the driver side. And the buttons on the key are not working. But she can be opened by just sticking the key in the door. All the doors unlock if you turn it three times."
Good working order,35.5393,"Asheville, NC",-82.51799999999999,20.0,Car stereo,https://asheville.craigslist.org/for/d/car-stereo/6512666192.html,Car stereo. $20.0. Good working order
"EKORNES STRESSLESS LEATHER RECLINER & OTTOMAN, quality furniture, made in Norway. Original cost $1000+. We're redecorating our home, is the reason we're selling these two pieces. Our asking price is 425.00. If you would like additional pics or have a question, please don't hesitate and email, text or even better yet, call",35.385174,"Hendersonville, NC",-82.464267,425.0,EKORNES STRESSLESS LEATHER RECLINER & OTTOMAN,https://asheville.craigslist.org/fuo/d/ekornes-stressless-leather/6512667657.html,"EKORNES STRESSLESS LEATHER RECLINER & OTTOMAN. $425.0. EKORNES STRESSLESS LEATHER RECLINER & OTTOMAN, quality furniture, made in Norway. Original cost $1000+. We're redecorating our home, is the reason we're selling these two pieces. Our asking price is 425.00. If you would like additional pics or have a question, please don't hesitate and email, text or even better yet, call"
"TRAILER IS 7' 6"" TALL, 6' 6"" WIDE FOR WARM BLOOD HORSES. FULLY PADDED, FULLY ENCLOSED, RUBBER MATS, NEW TIRES AND SPARE. 2 SADDLE RACKS IN DRESSING ROOM ALSO BRIDLE HOOKS. RAMP LOAD, BUMPER PULL. TITLE IN HAND, READY TO GO. ASKING PRICE IS $8500.00 OR BEST OFFER. FOR MORE INFORMATION CALL ROGER AT .",34.8238,"Laurel Hill, NC",-79.5491,8500.0,HAWK ALUMINUM TRAILER WITH DRESSING ROOM,https://asheville.craigslist.org/grd/d/hawk-aluminum-trailer-with/6496902971.html,"HAWK ALUMINUM TRAILER WITH DRESSING ROOM. $8500.0. TRAILER IS 7' 6"" TALL, 6' 6"" WIDE FOR WARM BLOOD HORSES. FULLY PADDED, FULLY ENCLOSED, RUBBER MATS, NEW TIRES AND SPARE. 2 SADDLE RACKS IN DRESSING ROOM ALSO BRIDLE HOOKS. RAMP LOAD, BUMPER PULL. TITLE IN HAND, READY TO GO. ASKING PRICE IS $8500.00 OR BEST OFFER. FOR MORE INFORMATION CALL ROGER AT ."
"Stock wheels off 2015 golf tdi 5x112 bolt patter 7.5 inch wide 225/45r18 3 good tires, one is down to 3/32 2 Michelin and one Goodyear left. Send your best offer. Text first please",34.8238,"Fletcher, NC",-79.5491,400.0,Vw wheels 5x112 and tires,https://asheville.craigslist.org/wto/d/vw-wheels-5x112-and-tires/6512667785.html,"Vw wheels 5x112 and tires. $400.0. Stock wheels off 2015 golf tdi 5x112 bolt patter 7.5 inch wide 225/45r18 3 good tires, one is down to 3/32 2 Michelin and one Goodyear left. Send your best offer. Text first please"
"2 HORSE SLANT LOAD WITH GOOD SIZE DRESSING ROOM. 10 PLY TIRES, ESCAPE DOOR, MATS, PLYWOOD INSIDE HORSE AREA. REAR SETUP, WINDOW AC. GREAT FOR CAMPING OR TRAIL RIDING. TITLE IN HAND. ASKING PRICE IS $4250.00 OR BEST OFFER. FOR MORE INFORMATION CALL ROGER AT .",34.8238,"Laurel Hill, NC",-79.5491,4250.0,RED GOOSENECK TRAILER,https://asheville.craigslist.org/grd/d/red-gooseneck-trailer/6497719353.html,"RED GOOSENECK TRAILER. $4250.0. 2 HORSE SLANT LOAD WITH GOOD SIZE DRESSING ROOM. 10 PLY TIRES, ESCAPE DOOR, MATS, PLYWOOD INSIDE HORSE AREA. REAR SETUP, WINDOW AC. GREAT FOR CAMPING OR TRAIL RIDING. TITLE IN HAND. ASKING PRICE IS $4250.00 OR BEST OFFER. FOR MORE INFORMATION CALL ROGER AT ."
